epoch,tb_new_bytes,tb_retx_bytes,num_new_tb
1785579014.864218,59670748,3422157,56772
1785579014.869216,59670748,3422157,56772
1785579014.874230,59670748,3422157,56772
1785579014.879216,59670748,3422157,56772
1785579014.884223,59670748,3422157,56772
1785579014.889215,59670748,3422157,56772
1785579014.894217,59670748,3422157,56772
1785579014.899215,59670748,3422157,56772
1785579014.904217,59670748,3422157,56772
1785579014.909216,59670748,3422157,56772
1785579014.914228,59670748,3422157,56772
1785579014.919216,59670748,3422157,56772
1785579014.924218,59670748,3422157,56772
1785579014.929216,59670748,3422157,56772
1785579014.934217,59670748,3422157,56772
1785579014.939215,59670748,3422157,56772
1785579014.944218,59670748,3422157,56772
1785579014.949215,59670748,3422157,56772
1785579014.954229,59670748,3422157,56772
1785579014.959215,59670748,3422157,56772
1785579014.964217,59670748,3422157,56772
1785579014.969216,59670748,3422157,56772
1785579014.974216,59670748,3422157,56772
1785579014.979215,59670748,3422157,56772
1785579014.984243,59670748,3422157,56772
1785579014.989232,59670748,3422157,56772
1785579014.994249,59670748,3422157,56772
1785579014.999232,59670748,3422157,56772
1785579015.004234,59670748,3422157,56772
1785579015.009231,59670748,3422157,56772
1785579015.014234,59670748,3422157,56772
1785579015.019231,59670748,3422157,56772
1785579015.024234,59670748,3422157,56772
1785579015.029231,59670748,3422157,56772
1785579015.034244,59670748,3422157,56772
1785579015.039232,59670748,3422157,56772
1785579015.044234,59670748,3422157,56772
1785579015.049231,59670748,3422157,56772
1785579015.054233,59670748,3422157,56772
1785579015.059231,59670748,3422157,56772
1785579015.064234,59670748,3422157,56772
1785579015.069231,59670748,3422157,56772
1785579015.074245,59670748,3422157,56772
1785579015.079231,59670748,3422157,56772
1785579015.084238,59670748,3422157,56772
1785579015.089232,59670748,3422157,56772
1785579015.094236,59670748,3422157,56772
1785579015.099231,59670748,3422157,56772
1785579015.104222,59670748,3422157,56772
1785579015.109216,59670748,3422157,56772
1785579015.114229,59670748,3422157,56772
1785579015.119215,59670748,3422157,56772
1785579015.124217,59670748,3422157,56772
1785579015.129215,59670748,3422157,56772
1785579015.134216,59670748,3422157,56772
1785579015.139216,59670748,3422157,56772
1785579015.144218,59670748,3422157,56772
1785579015.149215,59670748,3422157,56772
1785579015.154229,59670748,3422157,56772
1785579015.159216,59670748,3422157,56772
1785579015.164217,59670748,3422157,56772
1785579015.169215,59670748,3422157,56772
1785579015.174216,59670748,3422157,56772
1785579015.179215,59670748,3422157,56772
1785579015.184224,59670748,3422157,56772
1785579015.189215,59670748,3422157,56772
1785579015.194228,59670748,3422157,56772
1785579015.199215,59670748,3422157,56772
1785579015.204217,59670748,3422157,56772
1785579015.209215,59670748,3422157,56772
1785579015.214216,59670748,3422157,56772
1785579015.219215,59670748,3422157,56772
1785579015.224217,59670748,3422157,56772
1785579015.229216,59670748,3422157,56772
1785579015.234228,59670748,3422157,56772
1785579015.239216,59670748,3422157,56772
1785579015.244218,59670748,3422157,56772
1785579015.249215,59670748,3422157,56772
1785579015.254217,59670748,3422157,56772
1785579015.259215,59670748,3422157,56772
1785579015.264217,59670748,3422157,56772
1785579015.269215,59670748,3422157,56772
1785579015.274228,59670748,3422157,56772
1785579015.279215,59670748,3422157,56772
1785579015.284222,59670748,3422157,56772
1785579015.289215,59670748,3422157,56772
1785579015.294216,59670748,3422157,56772
1785579015.299215,59670748,3422157,56772
1785579015.304217,59670748,3422157,56772
1785579015.309215,59670748,3422157,56772
1785579015.314228,59670748,3422157,56772
1785579015.319215,59670748,3422157,56772
1785579015.324217,59670748,3422157,56772
1785579015.329215,59670748,3422157,56772
1785579015.334216,59670748,3422157,56772
1785579015.339214,59670748,3422157,56772
1785579015.344218,59670748,3422157,56772
1785579015.349215,59670748,3422157,56772
1785579015.354228,59670748,3422157,56772
1785579015.359215,59670748,3422157,56772
1785579015.364216,59670748,3422157,56772
1785579015.369214,59670748,3422157,56772
1785579015.374216,59670748,3422157,56772
1785579015.379214,59670748,3422157,56772
1785579015.384222,59670748,3422157,56772
1785579015.389215,59670748,3422157,56772
1785579015.394227,59670748,3422157,56772
1785579015.399215,59670748,3422157,56772
1785579015.404216,59670748,3422157,56772
1785579015.409215,59670748,3422157,56772
1785579015.414216,59670748,3422157,56772
1785579015.419214,59670748,3422157,56772
1785579015.424217,59670748,3422157,56772
1785579015.429215,59670748,3422157,56772
1785579015.434227,59670748,3422157,56772
1785579015.439215,59670748,3422157,56772
1785579015.444216,59670748,3422157,56772
1785579015.449215,59670748,3422157,56772
1785579015.454216,59670748,3422157,56772
1785579015.459215,59670748,3422157,56772
1785579015.464216,59670748,3422157,56772
1785579015.469215,59670748,3422157,56772
1785579015.474227,59670748,3422157,56772
1785579015.479214,59670748,3422157,56772
1785579015.484223,59671292,3422157,56773
1785579015.489215,59671292,3422157,56773
1785579015.494216,59671292,3422157,56773
1785579015.499216,59671292,3422157,56773
1785579015.504217,59671292,3422157,56773
1785579015.509214,59671292,3422157,56773
1785579015.514228,59671292,3422157,56773
1785579015.519214,59671292,3422157,56773
1785579015.524216,59671292,3422157,56773
1785579015.529215,59671292,3422157,56773
1785579015.534216,59671292,3422157,56773
1785579015.539214,59671292,3422157,56773
1785579015.544216,59671292,3422157,56773
1785579015.549215,59671292,3422157,56773
1785579015.554229,59671292,3422157,56773
1785579015.559215,59671292,3422157,56773
1785579015.564218,59671292,3422157,56773
1785579015.569214,59671292,3422157,56773
1785579015.574216,59671292,3422157,56773
1785579015.579215,59671292,3422157,56773
1785579015.584223,59671292,3422157,56773
1785579015.589214,59671292,3422157,56773
1785579015.594227,59671292,3422157,56773
1785579015.599214,59671292,3422157,56773
1785579015.604216,59671292,3422157,56773
1785579015.609214,59671292,3422157,56773
