# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
DEQ,784818661131391,23,84,135565,0
STATS,784818961914770,0,0,1,1,0,0,0
DEQ,784819663182386,23,84,146535,0
STATS,784819963905739,0,0,2,2,0,0,0
DEQ,784820665132821,23,84,137268,0
STATS,784820965931440,0,0,3,3,0,0,0
DEQ,784821666536952,23,84,140799,0
STATS,784821967326388,0,0,4,4,0,0,0
DEQ,784822668416469,23,84,128626,0
STATS,784822969244259,0,0,5,5,0,0,0
DEQ,784823670341599,23,84,142572,0
STATS,784823971145305,0,0,6,6,0,0,0
DEQ,784824672246377,23,84,128764,0
STATS,784824973052548,0,0,7,7,0,0,0
DEQ,784825674122807,23,84,109997,0
DEQ,784825738758615,23,60,25149,0
DEQ,784825762629904,23,52,20338,0
DEQ,784825762668718,23,89,23517,0
DEQ,784825785634307,23,52,17122,0
DEQ,784825785673089,23,56,19453,1
DEQ,784825785716645,23,178,54595,0
DEQ,784825805658157,23,60,17190,0
DEQ,784825822715969,23,52,14420,0
DEQ,784825822760214,23,89,36915,0
DEQ,784825846150111,23,52,22087,0
DEQ,784825847643890,23,52,25968,1
DEQ,784825847678647,23,52,49556,0
DEQ,784825847845227,23,1400,44150,3
DEQ,784825847907179,23,1400,96337,4
DEQ,784825847946726,23,1400,129105,3
DEQ,784825847986721,23,1400,166919,4
DEQ,784825848079734,23,1400,229858,3
DEQ,784825848082391,23,1400,230646,2
DEQ,784825848084246,23,1400,135108,1
DEQ,784825848131910,23,1400,180793,2
DEQ,784825848171581,23,1400,83389,1
DEQ,784825848211820,23,1400,119422,0
DEQ,784825872737522,23,1400,43894,1
DEQ,784825872777676,23,1400,75093,0
DEQ,784825877642645,23,1400,54950,1
DEQ,784825877695182,23,1400,99284,0
DEQ,784825883659134,23,1400,43996,3
DEQ,784825883698464,23,1400,74434,2
DEQ,784825883738584,23,1400,108988,1
DEQ,784825883781936,23,1400,150255,0
DEQ,784825883824011,23,1400,36444,1
DEQ,784825883881740,23,1400,92100,0
DEQ,784825895777591,23,1400,55463,3
DEQ,784825895829437,23,1400,98993,2
DEQ,784825895869581,23,1400,132538,3
DEQ,784825895909520,23,1400,169847,2
DEQ,784825895955181,23,1400,108975,1
DEQ,784825896004627,23,1400,149198,0
DEQ,784825896054403,23,1400,40842,1
DEQ,784825896100615,23,1400,80078,0
DEQ,784825901720722,23,1400,102144,3
DEQ,784825901729776,23,1400,103927,2
DEQ,784825901844579,23,1400,212783,1
DEQ,784825901848979,23,1400,214675,0
DEQ,784825901976335,23,1400,102819,1
DEQ,784825901980711,23,1400,99304,0
DEQ,784825907757291,23,1400,101706,3
DEQ,784825907761746,23,1400,98658,2
DEQ,784825907769636,23,1400,99927,1
DEQ,784825907886572,23,1400,214474,2
DEQ,784825907890918,23,1400,97505,1
DEQ,784825907904335,23,1400,106744,0
DEQ,784825913727225,23,1400,105986,3
DEQ,784825913731357,23,1400,102007,2
DEQ,784825913764074,23,1400,128659,1
DEQ,784825913879392,23,1400,241247,0
DEQ,784825914013019,23,1400,107575,1
DEQ,784825914025050,23,1400,111458,0
DEQ,784825919717864,23,1400,101884,3
DEQ,784825919722205,23,1400,97872,2
DEQ,784825919743678,23,1400,114850,1
DEQ,784825919841246,23,1400,209655,0
DEQ,784825925716534,23,1400,102657,1
DEQ,784825925719545,23,1400,97384,0
DEQ,784825931710520,23,1400,95451,1
DEQ,784825931717816,23,1400,93837,0
DEQ,784825937723493,23,1400,98797,1
DEQ,784825937726546,23,1400,93908,0
DEQ,784825943735772,23,1400,109062,3
DEQ,784825943738744,23,1400,103778,2
DEQ,784825943823091,23,1400,180366,1
DEQ,784825943824055,23,1400,178785,0
DEQ,784825949725319,23,1400,106541,0
DEQ,784825955716277,23,1400,102169,1
DEQ,784825955719173,23,1400,96971,0
DEQ,784825961723004,23,1400,105802,1
DEQ,784825961726077,23,1400,99940,0
DEQ,784825967724015,23,1400,107137,1
DEQ,784825967727113,23,1400,101988,0
DEQ,784825973723127,23,1400,103799,3
DEQ,784825973725878,23,1400,99349,2
DEQ,784825973727873,23,1400,96712,1
DEQ,784825973842269,23,1400,208647,2
DEQ,784825973843235,23,1400,110820,1
DEQ,784825973844795,23,1400,108211,0
STATS,784825973857286,0,0,93,93,0,0,0
DEQ,784825979714115,23,1400,98160,1
DEQ,784825979717251,23,1400,92895,0
DEQ,784825985565790,23,1400,43706,2
DEQ,784825985612482,23,1400,83900,1
DEQ,784825985667773,23,1400,133583,0
DEQ,784825991642709,23,1400,50350,2
DEQ,784825991732114,23,1400,127449,1
DEQ,784825991760115,23,1400,153185,0
DEQ,784825997663855,23,1400,43763,0
DEQ,784826003734528,23,1400,109320,3
DEQ,784826003737509,23,1400,103860,2
DEQ,784826003739531,23,1400,97797,1
DEQ,784826003859563,23,1400,215237,1
DEQ,784826003860526,23,1400,117214,0
DEQ,784826009721119,23,1400,108511,0
DEQ,784826015707823,23,1400,91066,2
DEQ,784826015710661,23,1400,78221,1
DEQ,784826015802043,23,1400,167349,1
DEQ,784826015802946,23,1400,88131,0
DEQ,784826021705836,23,1400,91879,1
DEQ,784826021708681,23,1400,82433,0
DEQ,784826027713662,23,1400,100462,1
DEQ,784826027716500,23,1400,89626,0
DEQ,784826033716096,23,1400,95340,1
DEQ,784826033718944,23,1400,85088,0
DEQ,784826033842061,23,1400,118648,0
DEQ,784826039709859,23,1400,97576,1
DEQ,784826039712717,23,1400,91601,0
DEQ,784826045701638,23,1400,88940,2
DEQ,784826045711714,23,1400,83668,1
DEQ,784826045815386,23,1400,185034,0
DEQ,784826051718449,23,1400,99118,0
DEQ,784826060881965,23,1400,91947,3
DEQ,784826060884830,23,1400,85764,2
DEQ,784826060973742,23,1400,168254,1
DEQ,784826060974629,23,1400,166945,0
DEQ,784826065712745,23,1400,103346,0
DEQ,784826071731340,23,1400,106168,3
DEQ,784826071733977,23,1400,100432,2
DEQ,784826071735667,23,1400,94410,1
DEQ,784826071833594,23,1400,190101,1
DEQ,784826071835638,23,1400,96664,0
DEQ,784826077711286,23,1400,98488,0
DEQ,784826090889245,23,1400,98981,1
DEQ,784826090983660,23,1400,183484,0
DEQ,784826095653091,23,1400,49693,3
DEQ,784826095692466,23,1400,80430,2
DEQ,784826095732240,23,1400,114465,1
DEQ,784826095775933,23,1400,156014,0
DEQ,784826095815336,23,1400,35860,1
DEQ,784826095861874,23,1400,80253,0
DEQ,784826101654528,23,1400,48001,1
DEQ,784826101705856,23,1400,89221,0
DEQ,784826107686928,23,1400,43276,1
DEQ,784826107735879,23,1400,84115,0
DEQ,784826113718847,23,1400,101497,3
DEQ,784826113723405,23,1400,97968,2
DEQ,784826113744952,23,1400,112719,1
DEQ,784826113846861,23,1400,211944,0
DEQ,784826119717511,23,1400,100611,2
DEQ,784826119736408,23,1400,111655,1
DEQ,784826119836826,23,1400,207945,0
DEQ,784826125704532,23,1400,89619,2
DEQ,784826125708699,23,1400,84489,1
DEQ,784826125717415,23,1400,87647,0
DEQ,784826131711133,23,1400,92095,2
DEQ,784826131715197,23,1400,87858,1
DEQ,784826131723668,23,1400,91123,0
DEQ,784826137705328,23,1400,93517,1
DEQ,784826137715568,23,1400,95235,0
DEQ,784826143691972,23,1400,103799,2
DEQ,784826143696067,23,1400,98350,1
DEQ,784826143720075,23,1400,116486,0
DEQ,784826149700285,23,1400,116813,1
DEQ,784826149704702,23,1400,111285,0
DEQ,784826155708358,23,1400,97557,1
DEQ,784826155712500,23,1400,92025,0
DEQ,784826161714432,23,1400,99573,1
DEQ,784826161718603,23,1400,94088,0
DEQ,784826167741171,23,1400,99993,2
DEQ,784826167745280,23,1400,94925,1
DEQ,784826167761873,23,1400,107328,0
DEQ,784826173713627,23,1400,87824,3
DEQ,784826173717720,23,1400,83592,2
DEQ,784826173727488,23,1400,88417,1
DEQ,784826173856826,23,1400,215212,0
DEQ,784826179712047,23,1400,98151,1
DEQ,784826179720233,23,1400,97446,0
DEQ,784826185703916,23,1400,96944,1
DEQ,784826185727815,23,1400,111434,0
DEQ,784826191707779,23,1400,89808,3
DEQ,784826191710760,23,1400,83332,2
DEQ,784826191722600,23,1400,89917,1
DEQ,784826191862684,23,1400,227861,0
DEQ,784826197707857,23,1400,101368,1
DEQ,784826197711438,23,1400,96052,0
DEQ,784826203652313,23,1400,54975,1
DEQ,784826203703549,23,1400,97919,0
DEQ,784826209687718,23,1400,85842,4
DEQ,784826209786899,23,1400,174959,3
DEQ,784826209787951,23,1400,172392,2
DEQ,784826209788587,23,1400,167694,1
DEQ,784826209866813,23,1400,243794,0
DEQ,784826215657262,23,1400,43889,1
DEQ,784826215709254,23,1400,86836,0
DEQ,784826221658598,23,1400,44313,0
DEQ,784826230968013,23,1400,121854,3
DEQ,784826230970993,23,1400,115934,2
DEQ,784826231070195,23,1400,208313,1
DEQ,784826231071191,23,1400,206895,0
DEQ,784826235704877,23,1400,100225,2
DEQ,784826235707678,23,1400,95549,1
DEQ,784826235798608,23,1400,184199,0
DEQ,784826241712684,23,1400,106674,1
DEQ,784826241715537,23,1400,98813,0
DEQ,784826247740519,23,1400,105231,1
DEQ,784826247743375,23,1400,98726,0
DEQ,784826253702768,23,1400,88149,2
DEQ,784826253705589,23,1400,82166,1
DEQ,784826253798653,23,1400,169801,0
DEQ,784826259710224,23,1400,100901,1
DEQ,784826259713011,23,1400,94078,0
DEQ,784826265709127,23,1400,90638,4
DEQ,784826265711962,23,1400,84667,3
DEQ,784826265800503,23,1400,169249,2
DEQ,784826265801402,23,1400,165324,1
DEQ,784826265867591,23,1400,229066,0
DEQ,784826271709272,23,1400,93707,1
DEQ,784826271712150,23,1400,87522,0
DEQ,784826277707666,23,1400,98202,1
DEQ,784826277710506,23,1400,90718,0
DEQ,784826283700202,23,1400,92050,3
DEQ,784826283703019,23,1400,85118,2
DEQ,784826283714641,23,1400,91107,1
DEQ,784826283829488,23,1400,203792,0
DEQ,784826289714464,23,1400,103003,1
DEQ,784826289717280,23,1400,96170,0
DEQ,784826295711804,23,1400,99385,0
DEQ,784826301718739,23,1400,100272,3
DEQ,784826301721532,23,1400,94400,2
DEQ,784826301816762,23,1400,183765,1
DEQ,784826301817677,23,1400,182455,0
DEQ,784826315911052,23,1400,44290,1
DEQ,784826315963784,23,1400,87784,0
DEQ,784826321666947,23,1400,41499,3
DEQ,784826321706764,23,1400,74348,2
DEQ,784826321753584,23,1400,114715,2
DEQ,784826321786846,23,1400,145315,1
DEQ,784826321828939,23,1400,120512,0
DEQ,784826327659693,23,1400,43932,1
DEQ,784826327736432,23,1400,112217,0
DEQ,784826335997956,23,1400,101773,1
DEQ,784826336001037,23,1400,96168,0
DEQ,784826341730961,23,1400,110758,3
DEQ,784826341733909,23,1400,105417,2
DEQ,784826341735806,23,1400,100898,1
DEQ,784826341837880,23,1400,200435,2
DEQ,784826341838789,23,1400,98566,1
DEQ,784826341933540,23,1400,181113,0
DEQ,784826347741781,23,1400,95161,0
DEQ,784826353711099,23,1400,93338,3
DEQ,784826353713900,23,1400,86017,2
DEQ,784826353725652,23,1400,91360,1
DEQ,784826353860958,23,1400,224435,0
DEQ,784826359707802,23,1400,101049,1
DEQ,784826359710639,23,1400,94658,0
DEQ,784826365705206,23,1400,89067,3
DEQ,784826365708089,23,1400,83412,2
DEQ,784826365719807,23,1400,89999,1
DEQ,784826365848354,23,1400,216344,0
DEQ,784826371711034,23,1400,96607,1
DEQ,784826371713894,23,1400,90507,0
DEQ,784826377707322,23,1400,98312,1
DEQ,784826377710166,23,1400,91928,0
DEQ,784826383707739,23,1400,89434,3
DEQ,784826383710587,23,1400,82668,2
DEQ,784826383803662,23,1400,170429,1
DEQ,784826383804541,23,1400,169204,0
DEQ,784826389714215,23,1400,108969,0
DEQ,784826395710193,23,1400,98138,1
DEQ,784826395713040,23,1400,91831,0
DEQ,784826401708488,23,1400,93427,3
DEQ,784826401711318,23,1400,86437,2
DEQ,784826401804566,23,1400,173905,1
DEQ,784826401805458,23,1400,172638,0
DEQ,784826407707290,23,1400,98652,2
DEQ,784826407710096,23,1400,92132,1
DEQ,784826407804409,23,1400,182528,0
DEQ,784826413701890,23,1400,88356,2
DEQ,784826413704696,23,1400,76384,1
DEQ,784826413792810,23,1400,162314,0
DEQ,784826419616651,23,1400,41496,1
DEQ,784826419655348,23,1400,73692,0
DEQ,784826425684818,23,1400,90050,3
DEQ,784826425760735,23,1400,156658,2
DEQ,784826425761774,23,1400,152260,1
DEQ,784826425846422,23,1400,234863,0
DEQ,784826431661316,23,1400,43901,1
DEQ,784826431710973,23,1400,84831,0
DEQ,784826437657017,23,1400,43286,1
DEQ,784826437708534,23,1400,86939,0
DEQ,784826443662662,23,1400,43994,2
DEQ,784826443700728,23,1400,67823,1
DEQ,784826443744440,23,1400,108945,0
DEQ,784826449728784,23,1400,106650,1
DEQ,784826449731921,23,1400,101792,0
DEQ,784826455707074,23,1400,97938,1
DEQ,784826455709930,23,1400,91660,0
DEQ,784826461714331,23,1400,91680,3
DEQ,784826461717139,23,1400,85207,2
DEQ,784826461731238,23,1400,93277,2
DEQ,784826461866019,23,1400,225806,1
DEQ,784826461869113,23,1400,147561,0
DEQ,784826467714385,23,1400,107663,1
DEQ,784826467717240,23,1400,101698,0
DEQ,784826473703821,23,1400,90056,3
DEQ,784826473714259,23,1400,90580,2
DEQ,784826473824533,23,1400,195430,1
DEQ,784826473825508,23,1400,194063,0
DEQ,784826479710246,23,1400,97790,1
DEQ,784826479713080,23,1400,91652,0
DEQ,784826485703166,23,1400,89932,2
DEQ,784826485713200,23,1400,85488,1
DEQ,784826485829394,23,1400,199507,0
DEQ,784826491714269,23,1400,106175,1
DEQ,784826491717121,23,1400,99590,0
DEQ,784826497702345,23,1400,96107,1
DEQ,784826497709728,23,1400,94491,0
DEQ,784826503703508,23,1400,88925,3
DEQ,784826503706429,23,1400,82626,2
DEQ,784826503793624,23,1400,164728,2
DEQ,784826503794494,23,1400,163107,1
DEQ,784826503857542,23,1400,146749,0
DEQ,784826509699748,23,1400,87704,1
DEQ,784826509709858,23,1400,88346,0
DEQ,784826515705142,23,1400,92358,1
DEQ,784826515707918,23,1400,86691,0
DEQ,784826521718320,23,1400,105717,1
DEQ,784826521721102,23,1400,98888,0
DEQ,784826527706481,23,1400,98805,1
DEQ,784826527716700,23,1400,99789,0
DEQ,784826533652271,23,1400,52883,3
DEQ,784826533703907,23,1400,96606,2
DEQ,784826533744264,23,1400,131647,2
DEQ,784826533783873,23,1400,169072,1
DEQ,784826533831292,23,1400,125622,0
DEQ,784826539642461,23,1400,57658,1
DEQ,784826539698364,23,1400,104436,0
DEQ,784826545660800,23,1400,43260,2
DEQ,784826545699424,23,1400,73780,1
DEQ,784826545743036,23,1400,112945,0
DEQ,784826551717066,23,1400,102805,1
DEQ,784826551720127,23,1400,97141,0
DEQ,784826557723733,23,1400,106529,1
DEQ,784826557815209,23,1400,190339,0
DEQ,784826563727664,23,1400,105820,4
DEQ,784826563730761,23,1400,101456,3
DEQ,784826563829329,23,1400,193609,2
DEQ,784826563830242,23,1400,188753,1
DEQ,784826563830733,23,1400,186893,0
DEQ,784826569706423,23,1400,96704,1
DEQ,784826569709208,23,1400,90303,0
DEQ,784826575716838,23,1400,102524,1
DEQ,784826575719599,23,1400,95909,0
DEQ,784826581708727,23,1400,97969,1
DEQ,784826581711555,23,1400,91672,0
DEQ,784826587714269,23,1400,109087,0
DEQ,784826595590935,23,1400,100691,1
DEQ,784826595593698,23,1400,94726,0
DEQ,784826599700628,23,1400,88640,3
DEQ,784826599703413,23,1400,82481,2
DEQ,784826599796133,23,1400,169820,1
DEQ,784826599797077,23,1400,168449,0
DEQ,784826605668972,23,1400,43436,3
DEQ,784826605708027,23,1400,73344,2
DEQ,784826605748208,23,1400,107899,2
DEQ,784826605796254,23,1400,153866,2
DEQ,784826605828047,23,1400,118548,1
DEQ,784826605871387,23,1400,121797,0
DEQ,784826613087850,23,1400,106428,1
DEQ,784826613090714,23,1400,105891,0
DEQ,784826617714207,23,1400,98802,1
DEQ,784826617717060,23,1400,92373,0
DEQ,784826623701002,23,1400,91888,3
DEQ,784826623703843,23,1400,84277,2
DEQ,784826623826123,23,1400,200718,1
DEQ,784826623827303,23,1400,199740,0
DEQ,784826629729242,23,1400,121673,1
DEQ,784826629732045,23,1400,115834,0
DEQ,784826635705124,23,1400,90188,3
DEQ,784826635707929,23,1400,83540,2
DEQ,784826635719341,23,1400,89336,1
DEQ,784826635849961,23,1400,217837,0
DEQ,784826641652263,23,1400,53252,1
DEQ,784826641701243,23,1400,93492,0
DEQ,784826647653802,23,1400,45703,1
DEQ,784826647706128,23,1400,88822,0
DEQ,784826653658537,23,1400,43569,2
DEQ,784826653697531,23,1400,68981,1
DEQ,784826653739345,23,1400,108183,0
DEQ,784826659655358,23,1400,43868,1
DEQ,784826659707122,23,1400,86838,0
DEQ,784826665709550,23,1400,93839,2
DEQ,784826665715936,23,1400,92198,1
DEQ,784826665717565,23,1400,87757,0
DEQ,784826671730732,23,1400,105051,1
DEQ,784826671733747,23,1400,99891,0
DEQ,784826676088410,23,84,133937,0
DEQ,784826677718290,23,1400,102983,1
DEQ,784826677721058,23,1400,97467,0
DEQ,784826683730803,23,1400,109519,1
DEQ,784826683734038,23,1400,105340,0
DEQ,784826690642510,23,1400,97651,2
DEQ,784826690645624,23,1400,93249,1
DEQ,784826690659974,23,1400,103046,1
DEQ,784826690748461,23,1400,94374,0
DEQ,784826695734767,23,1400,105640,3
DEQ,784826695737803,23,1400,99838,2
DEQ,784826695833534,23,1400,189170,1
DEQ,784826695834435,23,1400,187668,0
DEQ,784826701726356,23,1400,114281,1
DEQ,784826701729306,23,1400,108916,0
DEQ,784826708154492,23,1400,112917,1
DEQ,784826708157610,23,1400,107114,0
DEQ,784826713729673,23,1400,106904,3
DEQ,784826713732452,23,1400,90096,2
DEQ,784826713825637,23,1400,177839,1
DEQ,784826713826680,23,1400,176222,0
DEQ,784826719723524,23,1400,109629,1
DEQ,784826719726588,23,1400,103280,0
DEQ,784826725726379,23,1400,114392,1
DEQ,784826725729452,23,1400,109188,0
DEQ,784826731717277,23,1400,104446,1
DEQ,784826731720228,23,1400,99475,0
DEQ,784826737730458,23,1400,112095,1
DEQ,784826737733548,23,1400,106807,0
DEQ,784826743724008,23,1400,103372,3
DEQ,784826743726940,23,1400,97593,2
DEQ,784826743728987,23,1400,92223,1
DEQ,784826743846853,23,1400,207467,2
DEQ,784826743848081,23,1400,115373,1
DEQ,784826743947678,23,1400,208257,1
DEQ,784826743950649,23,1400,98112,0
DEQ,784826749642402,23,1400,50302,1
DEQ,784826749695793,23,1400,95011,0
DEQ,784826755676009,23,1400,90409,2
DEQ,784826755678867,23,1400,84250,1
DEQ,784826755810427,23,1400,209566,0
DEQ,784826762642696,23,1400,54437,1
DEQ,784826762693989,23,1400,97918,0
DEQ,784826767667247,23,1400,44148,1
DEQ,784826767718889,23,1400,86865,0
DEQ,784826773747003,23,1400,117569,3
DEQ,784826773752085,23,1400,115002,2
DEQ,784826773752605,23,1400,109273,1
DEQ,784826773876591,23,1400,230876,0
DEQ,784826779714282,23,1400,97813,1
DEQ,784826779718296,23,1400,93007,0
DEQ,784826790699238,23,1400,116305,1
DEQ,784826790703285,23,1400,111430,0
DEQ,784826795710924,23,1400,96834,3
DEQ,784826795714981,23,1400,91580,2
DEQ,784826795741383,23,1400,112310,1
DEQ,784826795837393,23,1400,206123,0
DEQ,784826801701385,23,1400,115895,1
DEQ,784826801720517,23,1400,126840,0
DEQ,784826807705487,23,1400,91494,3
DEQ,784826807709502,23,1400,86008,2
DEQ,784826807736662,23,1400,108158,1
DEQ,784826807839934,23,1400,209250,0
DEQ,784826813709726,23,1400,99078,1
DEQ,784826813713765,23,1400,93837,0
DEQ,784826819707687,23,1400,96904,1
DEQ,784826819711757,23,1400,91986,0
DEQ,784826825704630,23,1400,91067,3
DEQ,784826825708711,23,1400,85531,2
