# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
STATS,785671700017691,0,0,0,0,0,0,0
STATS,785672702135567,0,0,0,0,0,0,0
STATS,785673704267333,0,0,0,0,0,0,0
STATS,785674706538632,0,0,0,0,0,0,0
STATS,785675708727050,0,0,0,0,0,0,0
STATS,785676710940739,0,0,0,0,0,0,0
STATS,785677712629211,0,0,0,0,0,0,0
STATS,785678714423447,0,0,0,0,0,0,0
STATS,785679716350608,0,0,0,0,0,0,0
STATS,785680718467480,0,0,0,0,0,0,0
STATS,785681720630965,0,0,0,0,0,0,0
STATS,785682722794492,0,0,0,0,0,0,0
STATS,785683724951600,0,0,0,0,0,0,0
STATS,785684726961873,0,0,0,0,0,0,0
STATS,785685729230595,0,0,0,0,0,0,0
STATS,785686731485285,0,0,0,0,0,0,0
STATS,785687733650679,0,0,0,0,0,0,0
STATS,785688735685247,0,0,0,0,0,0,0
STATS,785689737719211,0,0,0,0,0,0,0
STATS,785690739674656,0,0,0,0,0,0,0
STATS,785691741524244,0,0,0,0,0,0,0
STATS,785692743405702,0,0,0,0,0,0,0
STATS,785693745582793,0,0,0,0,0,0,0
STATS,785694747404623,0,0,0,0,0,0,0
STATS,785695749538386,0,0,0,0,0,0,0
STATS,785696751750320,0,0,0,0,0,0,0
STATS,785697753966940,0,0,0,0,0,0,0
STATS,785698756115961,0,0,0,0,0,0,0
STATS,785699758284751,0,0,0,0,0,0,0
STATS,785700760506791,0,0,0,0,0,0,0
STATS,785701762517106,0,0,0,0,0,0,0
STATS,785702764723912,0,0,0,0,0,0,0
STATS,785703766852375,0,0,0,0,0,0,0
STATS,785704769053665,0,0,0,0,0,0,0
STATS,785705771331272,0,0,0,0,0,0,0
STATS,785706773438905,0,0,0,0,0,0,0
STATS,785707775579813,0,0,0,0,0,0,0
STATS,785708777812575,0,0,0,0,0,0,0
STATS,785709779932453,0,0,0,0,0,0,0
STATS,785710781950546,0,0,0,0,0,0,0
STATS,785711784205010,0,0,0,0,0,0,0
STATS,785712786230070,0,0,0,0,0,0,0
STATS,785713788351044,0,0,0,0,0,0,0
STATS,785714790557253,0,0,0,0,0,0,0
DEQ,785715474370240,23,28,29508,0
DEQ,785715531356821,23,60,74637,0
STATS,785715832006619,0,0,2,2,0,0,0
DEQ,785715832537067,23,52,24326,0
DEQ,785715832723877,23,139,69895,0
DEQ,785716130771185,23,52,22246,0
DEQ,785716130946942,23,52,67386,0
DEQ,785716136160266,23,52,20293,0
DEQ,785716182153212,23,84,21922,0
STATS,785716883625320,0,0,8,8,0,0,0
DEQ,785716950218542,23,52,102916,0
DEQ,785717183754580,23,84,22454,0
DEQ,785717474633001,23,28,130419,0
STATS,785717975774170,0,0,11,11,0,0,0
DEQ,785718185734819,23,84,24480,0
STATS,785718786978731,0,0,12,12,0,0,0
