# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
DEQ,667146721874406,19,84,111887,0
DEQ,667147723358667,19,84,149988,0
STATS,667147723414799,0,0,2,2,0,0,0
DEQ,667148725229179,19,84,106786,0
STATS,667148725248682,0,0,3,3,0,0,0
DEQ,667149727132411,19,84,105447,0
STATS,667149727152371,0,0,4,4,0,0,0
DEQ,667150729045500,19,84,104832,0
STATS,667150729063353,0,0,5,5,0,0,0
DEQ,667151730937493,19,84,106856,0
STATS,667151730955758,0,0,6,6,0,0,0
DEQ,667152112473607,19,60,32884,0
DEQ,667152732869787,19,84,140532,0
STATS,667152732931349,0,0,8,8,0,0,0
DEQ,667153174244592,19,60,129216,0
DEQ,667153734273741,19,84,134986,0
STATS,667153734328114,0,0,10,10,0,0,0
DEQ,667154198244643,19,60,130622,0
DEQ,667154507569530,19,60,61845,0
DEQ,667154538708349,19,52,17300,0
DEQ,667154538873252,19,89,58827,0
DEQ,667154561132725,19,52,19389,0
DEQ,667154561299552,19,56,59697,0
DEQ,667154578627659,19,170,20892,0
DEQ,667154601269121,19,32,65889,0
DEQ,667154642252042,19,52,133176,0
DEQ,667154678654494,19,52,11842,0
DEQ,667154736211787,19,84,128306,0
STATS,667154736264165,0,0,21,21,0,0,0
DEQ,667155222257758,19,60,133000,0
DEQ,667155738053362,19,84,129756,0
STATS,667155738105288,0,0,23,23,0,0,0
DEQ,667156246190871,19,60,70250,0
DEQ,667156740032909,19,84,130863,0
STATS,667156740093078,0,0,25,25,0,0,0
DEQ,667157270263067,19,60,144863,0
DEQ,667157741943820,19,84,146318,0
STATS,667157741998741,0,0,27,27,0,0,0
DEQ,667158743846437,19,84,109226,0
STATS,667158743865246,0,0,28,28,0,0,0
DEQ,667159318254881,19,60,133549,0
DEQ,667159745762167,19,84,126990,0
STATS,667159745814755,0,0,30,30,0,0,0
DEQ,667160747151872,19,84,136041,0
STATS,667160747202246,0,0,31,31,0,0,0
DEQ,667161749057993,19,84,113618,0
STATS,667161749075113,0,0,32,32,0,0,0
DEQ,667162750968338,19,84,106421,0
STATS,667162750986473,0,0,33,33,0,0,0
DEQ,667163350249249,19,60,124807,0
STATS,667163751201168,0,0,34,34,0,0,0
DEQ,667163752869209,19,84,134291,0
DEQ,667164754801228,19,84,102605,0
STATS,667164754818627,0,0,36,36,0,0,0
DEQ,667165756720007,19,84,101844,0
STATS,667165756738172,0,0,37,37,0,0,0
DEQ,667166758157399,19,84,130259,0
STATS,667166758208708,0,0,38,38,0,0,0
DEQ,667167760021372,19,84,105784,0
STATS,667167760039370,0,0,39,39,0,0,0
DEQ,667168761949885,19,84,102193,0
STATS,667168761968515,0,0,40,40,0,0,0
DEQ,667169763824106,19,84,107713,0
STATS,667169763853379,0,0,41,41,0,0,0
DEQ,667170765774376,19,84,107186,0
STATS,667170765792931,0,0,42,42,0,0,0
DEQ,667171414264103,19,60,147577,0
DEQ,667171767730862,19,84,138040,0
STATS,667171767785005,0,0,44,44,0,0,0
DEQ,667172769117594,19,84,135869,0
STATS,667172769173896,0,0,45,45,0,0,0
DEQ,667173770998713,19,84,105704,0
STATS,667173771019995,0,0,46,46,0,0,0
DEQ,667174772876147,19,84,99828,0
STATS,667174772895253,0,0,47,47,0,0,0
DEQ,667175774798529,19,84,99731,0
STATS,667175774816937,0,0,48,48,0,0,0
DEQ,667176776733654,19,84,101713,0
STATS,667176776752286,0,0,49,49,0,0,0
DEQ,667177778642963,19,84,104063,0
STATS,667177778660134,0,0,50,50,0,0,0
DEQ,667178780022412,19,84,106284,0
STATS,667178780042480,0,0,51,51,0,0,0
DEQ,667179781966662,19,84,111027,0
STATS,667179781992167,0,0,52,52,0,0,0
DEQ,667180783868181,19,84,112711,0
STATS,667180783890032,0,0,53,53,0,0,0
DEQ,667181785784602,19,84,108939,0
STATS,667181785803931,0,0,54,54,0,0,0
DEQ,667182787701671,19,84,108493,0
STATS,667182787720099,0,0,55,55,0,0,0
DEQ,667183789609175,19,84,102754,0
STATS,667183789627600,0,0,56,56,0,0,0
DEQ,667184726241712,19,53,106134,1
DEQ,667184726244974,19,52,92631,0
DEQ,667184756110580,19,40,18678,1
DEQ,667184756207496,19,40,104807,0
DEQ,667184760956599,19,40,21408,0
DEQ,667184790268952,19,84,135468,0
STATS,667184790319291,0,0,62,62,0,0,0
DEQ,667185791865982,19,84,103711,0
STATS,667185791884059,0,0,63,63,0,0,0
DEQ,667186793847984,19,84,110215,0
STATS,667186793872531,0,0,64,64,0,0,0
DEQ,667187795746881,19,84,98862,0
STATS,667187795765262,0,0,65,65,0,0,0
DEQ,667188797661376,19,84,103888,0
STATS,667188797679259,0,0,66,66,0,0,0
DEQ,667189799578766,19,84,105164,0
STATS,667189799596287,0,0,67,67,0,0,0
DEQ,667190801016272,19,84,122136,0
STATS,667190801047486,0,0,68,68,0,0,0
DEQ,667191802886529,19,84,117509,0
STATS,667191802912031,0,0,69,69,0,0,0
DEQ,667192728563604,19,60,119642,0
DEQ,667192756392385,19,52,17094,0
DEQ,667192756553987,19,89,62504,0
DEQ,667192780907489,19,52,22531,0
DEQ,667192781112413,19,56,91954,0
DEQ,667192804845468,19,84,132441,0
STATS,667192804974677,0,0,75,75,0,0,0
DEQ,667192816339263,19,152,21382,0
DEQ,667192851086637,19,60,60675,0
DEQ,667192876436931,19,52,92705,0
DEQ,667192876532544,19,89,88109,0
DEQ,667192891102968,19,52,100894,0
DEQ,667192922874020,19,52,14519,0
DEQ,667192922983851,19,1400,108589,3
DEQ,667192923081436,19,1400,203635,4
DEQ,667192923083974,19,1400,199733,3
DEQ,667192923084484,19,1400,198029,2
DEQ,667192923084955,19,1400,95449,1
DEQ,667192923176204,19,1400,182879,4
DEQ,667192923178705,19,1400,88588,3
DEQ,667192923179185,19,1400,85343,2
DEQ,667192923179629,19,1400,81592,1
DEQ,667192923257591,19,1400,157305,0
DEQ,667192948098250,19,1400,29768,3
DEQ,667192948264253,19,1400,185057,2
DEQ,667192948266947,19,1400,181709,1
DEQ,667192948267423,19,1400,179970,0
DEQ,667192958900436,19,1400,24753,1
DEQ,667192958943870,19,1400,58931,0
DEQ,667192965198397,19,1400,310674,3
DEQ,667192965200951,19,1400,303553,2
