seq,size,send_ts_ns,recv_ts_ns,rtt_ms
121,1000,1785765002109054019,1785765002592070569,483.014386
122,1000,1785765002208975404,1785765002814114185,605.136485
123,1000,1785765002309047238,1785765002814137335,505.087904
124,1000,1785765002408994644,1785765003026097592,617.100833
125,1000,1785765002509047996,1785765003026133184,517.082656
126,1000,1785765002608993609,1785765003206016489,597.020627
127,1000,1785765002709046832,1785765003206041154,496.992152
128,1000,1785765002809044740,1785765003412078904,603.032158
129,1000,1785765002909031228,1785765003412101622,503.068520
130,1000,1785765003009038267,1785765003639796736,630.756328
131,1000,1785765003109029243,1785765003644076244,535.044756
132,1000,1785765003208967884,1785765003814551046,605.581179
133,1000,1785765003309044991,1785765003844090452,535.043362
134,1000,1785765003409047652,1785765003856084330,447.034563
135,1000,1785765003509045951,1785765004044084782,535.035327
136,1000,1785765003609056067,1785765004044111879,435.053725
137,1000,1785765003708979856,1785765004262099766,553.117651
138,1000,1785765003809047497,1785765004262136851,453.087100
139,1000,1785765003909003412,1785765004454074837,545.069037
140,1000,1785765004009055766,1785765004464535351,455.477289
141,1000,1785765004109011285,1785765004629540408,520.526748
142,1000,1785765004209074171,1785765004629564956,420.488712
143,1000,1785765004308994317,1785765004864058327,555.061942
144,1000,1785765004409045913,1785765004874724456,465.676206
145,1000,1785765004509003489,1785765005068033942,559.028344
146,1000,1785765004609040793,1785765005082096322,473.053504
147,1000,1785765004709002897,1785765005272055524,563.050644
148,1000,1785765004809038588,1785765005272085576,463.045057
149,1000,1785765004908990542,1785765005480088280,571.095765
150,1000,1785765005009052047,1785765005480117817,471.063874
151,1000,1785765005108998992,1785765005669550856,560.549660
152,1000,1785765005209043393,1785765005674064579,465.018957
153,1000,1785765005308994501,1785765005877679516,568.683018
154,1000,1785765005409039245,1785765005882085837,473.044562
155,1000,1785765005508991612,1785765006073966685,564.973030
156,1000,1785765005609040034,1785765006073990260,464.948360
157,1000,1785765005708976349,1785765006274073376,565.094951
158,1000,1785765005809036056,1785765006274098089,465.060038
159,1000,1785765005908987529,1785765006480071892,571.082326
160,1000,1785765006009042638,1785765006486025058,476.980084
161,1000,1785765006108927100,1785765006684088672,575.159377
162,1000,1785765006209048498,1785765006684125305,475.074719
163,1000,1785765006308986144,1785765006902065252,593.077134
164,1000,1785765006409043675,1785765006902092917,493.047334
165,1000,1785765006509001022,1785765007101972994,592.969611
166,1000,1785765006609044609,1785765007101996742,492.950057
167,1000,1785765006708970808,1785765007322054916,613.081854
168,1000,1785765006809050134,1785765007322085218,513.032991
169,1000,1785765006908999943,1785765007520064389,611.062006
170,1000,1785765007009048085,1785765007520094778,511.044492
171,1000,1785765007108997986,1785765007750471165,641.471014
172,1000,1785765007209049967,1785765007750495477,541.443601
173,1000,1785765007309028685,1785765007919975198,610.944515
174,1000,1785765007409034715,1785765007944062171,535.025154
175,1000,1785765007509046147,1785765007970045216,460.996927
176,1000,1785765007609039285,1785765008162075597,553.034020
177,1000,1785765007709061244,1785765008162100078,453.036950
178,1000,1785765007808996255,1785765008358057845,549.059585
179,1000,1785765007909046563,1785765008364688104,455.639495
180,1000,1785765008008994112,1785765008550074827,541.078686
181,1000,1785765008109043293,1785765008550099919,441.054781
182,1000,1785765008208972542,1785765008774072201,565.097123
183,1000,1785765008309043048,1785765008774107194,465.057607
184,1000,1785765008408986547,1785765008976082218,567.093592
185,1000,1785765008509048051,1785765008976116779,467.066662
186,1000,1785765008608996995,1785765009184067350,575.068315
187,1000,1785765008709064483,1785765009184097139,475.030372
