seq,size,send_ts_ns,recv_ts_ns,rtt_ms
212,1000,1785811911729350700,1785811912331359268,602.006631
214,1000,1785811911929178644,1785811912533773358,604.593486
216,1000,1785811912129332637,1785811912728427704,599.093166
218,1000,1785811912329347344,1785811912949071987,619.722738
220,1000,1785811912529348366,1785811913149101832,619.751534
222,1000,1785811912729330660,1785811913363262111,633.929545
223,1000,1785811912829268645,1785811913498269482,668.998768
224,1000,1785811912929352819,1785811913578153733,648.798989
225,1000,1785811913029348702,1785811913583785537,554.434948
226,1000,1785811913129390363,1785811913783166734,653.774332
227,1000,1785811913229336313,1785811913787781515,558.443305
229,1000,1785811913429333381,1785811913948950310,519.614957
231,1000,1785811913629321299,1785811914121022446,491.699211
233,1000,1785811913829339805,1785811914353622416,524.280381
235,1000,1785811914029337996,1785811914588680368,559.340514
237,1000,1785811914229355387,1785811914796254854,566.897147
239,1000,1785811914429355324,1785811915013415618,584.058381
241,1000,1785811914629315524,1785811915208951074,579.633651
243,1000,1785811914829311959,1785811915383510850,554.196978
245,1000,1785811915029307756,1785811915588625494,559.315862
247,1000,1785811915229307671,1785811915788196742,558.887112
249,1000,1785811915429334320,1785811916008281455,578.945229
