seq,size,send_ts_ns,recv_ts_ns,rtt_ms
106,1000,1785811849700014469,1785811850364262509,664.245966
107,1000,1785811849799959654,1785811850370272778,570.310710
108,1000,1785811849900012787,1785811850550831671,650.816515
109,1000,1785811849999961627,1785811850556273591,556.309664
110,1000,1785811850100012733,1785811850758265529,658.250397
111,1000,1785811850199955191,1785811850758287560,558.330216
112,1000,1785811850300014370,1785811850962281971,662.265313
113,1000,1785811850399965362,1785811850962318753,562.350880
114,1000,1785811850500013589,1785811851162267640,662.251667
115,1000,1785811850599959853,1785811851162292459,562.330407
116,1000,1785811850700006386,1785811851352260802,652.252286
117,1000,1785811850799952989,1785811851352287920,552.332909
118,1000,1785811850900014050,1785811851548925575,648.905717
119,1000,1785811850999949249,1785811851554285493,554.333787
120,1000,1785811851100013394,1785811851744007291,643.991831
121,1000,1785811851199957961,1785811851748280068,548.320010
122,1000,1785811851300013079,1785811851946273280,646.257545
123,1000,1785811851399961167,1785811851946309944,546.346461
124,1000,1785811851500012692,1785811852122245497,622.230344
125,1000,1785811851599957263,1785811852122274050,522.314479
126,1000,1785811851700006777,1785811852330245671,630.236441
127,1000,1785811851799956854,1785811852336246839,536.287612
128,1000,1785811851900008678,1785811852552266113,652.255076
129,1000,1785811851999962301,1785811852552294532,552.329878
130,1000,1785811852100006810,1785811852768279719,668.270529
131,1000,1785811852199993734,1785811852768306954,568.311029
132,1000,1785811852300009277,1785811852999013706,699.002272
133,1000,1785811852399974233,1785811853004175871,604.199318
134,1000,1785811852500006237,1785811853204249078,704.240437
135,1000,1785811852599965988,1785811853204275961,604.307662
136,1000,1785811852699892600,1785811853398256698,698.361768
137,1000,1785811852799956461,1785811853398283325,598.324551
138,1000,1785811852900012842,1785811853608258870,708.243639
139,1000,1785811852999875169,1785811853608284993,608.398130
140,1000,1785811853100008605,1785811853824255615,724.244443
141,1000,1785811853200022512,1785811853824283059,624.258235
142,1000,1785811853299884112,1785811854023941825,724.055298
143,1000,1785811853399959836,1785811854028252832,628.290591
144,1000,1785811853500012839,1785811854206245961,706.230660
145,1000,1785811853600008422,1785811854206274036,606.263373
146,1000,1785811853700000301,1785811854400826211,700.823488
147,1000,1785811853800007646,1785811854406239993,606.230074
148,1000,1785811853899982407,1785811854620845550,720.860898
149,1000,1785811854000008292,1785811854620871316,620.860721
150,1000,1785811854099978531,1785811854826255183,726.273766
151,1000,1785811854200014007,1785811854826281431,626.265382
152,1000,1785811854300031031,1785811855034234693,734.201531
153,1000,1785811854400008714,1785811855034259280,634.248549
154,1000,1785811854500002415,1785811855228934489,728.929637
155,1000,1785811854600005880,1785811855234254458,634.246194
156,1000,1785811854699991288,1785811855410246199,710.252479
157,1000,1785811854800009602,1785811855418013108,618.001052
158,1000,1785811854899985142,1785811855620245507,720.258114
159,1000,1785811855000009124,1785811855620271551,620.260088
160,1000,1785811855099977719,1785811855802252536,702.272241
161,1000,1785811855200013550,1785811855802279495,602.263721
162,1000,1785811855299979989,1785811855986240194,686.257919
163,1000,1785811855400007458,1785811855986266971,586.257241
164,1000,1785811855499994943,1785811856218241590,718.244294
165,1000,1785811855600013308,1785811856224258046,624.242445
166,1000,1785811855699985400,1785811856432246553,732.259130
167,1000,1785811855800008386,1785811856432269333,632.258667
168,1000,1785811855900003691,1785811856652229713,752.224096
169,1000,1785811855999960439,1785811856652252377,652.289819
170,1000,1785811856100104744,1785811856852221686,752.114689
171,1000,1785811856200008217,1785811856864115749,664.105175
172,1000,1785811856299988862,1785811857034198468,734.207364
173,1000,1785811856400009694,1785811857040226650,640.214575
174,1000,1785811856499975664,1785811810584677832,742.252754
175,1000,1785811856600007834,1785811810584716495,642.259606
176,1000,1785811856699968516,1785811857448092331,746.264717
177,1000,1785811856800012358,1785811857454087162,652.216140
178,1000,1785811856899960913,1785811857656089630,754.270078
179,1000,1785811857000009419,1785811857656114312,654.246044
180,1000,1785811810442426614,1785811857848092448,746.252916
181,1000,1785811810542464056,1785811857848121006,646.244028
182,1000,1785811810642412865,1785811858042694535,740.870071
183,1000,1785811857401868068,1785811858042722326,640.850987
184,1000,1785811857501818174,1785811858248075678,746.255147
185,1000,1785811857601864001,1785811858254088743,652.222651
186,1000,1785811857701815349,1785811858438082657,736.264926
187,1000,1785811857801862489,1785811858444087868,642.223352
188,1000,1785811857901822377,1785811858630094708,728.269803
189,1000,1785811858001871360,1785811858630123299,628.249642
190,1000,1785811858101824911,1785811858846098258,744.270856
191,1000,1785811858201866883,1785811858846126407,644.257436
192,1000,1785811858301815290,1785811859036086081,734.268449
193,1000,1785811858401863529,1785811859042085012,640.219275
194,1000,1785811858501813978,1785811859174087912,672.271986
195,1000,1785811858601864006,1785811859234081036,632.214638
196,1000,1785811858701830977,1785811859374074404,672.241447
197,1000,1785811858801874701,1785811859430079152,628.202237
198,1000,1785811858901845153,1785811859568096265,666.249005
199,1000,1785811859001868200,1785811859624095072,622.224603
200,1000,1785811859101736929,1785811859766080950,664.341917
201,1000,1785811859201819696,1785811859846094613,644.272849
202,1000,1785811859301815034,1785811859986065794,684.248891
203,1000,1785811859401820258,1785811860028069737,626.246735
204,1000,1785811859501831494,1785811860164067415,662.233937
205,1000,1785811859601815492,1785811860256096990,654.279435
206,1000,1785811859701848061,1785811860256124205,554.274226
207,1000,1785811859801815851,1785811860442064808,640.246817
208,1000,1785811859901818161,1785811860442091788,540.271586
209,1000,1785811860001782166,1785811860632065307,630.280413
210,1000,1785811860101844291,1785811860632091407,530.244003
211,1000,1785811860201816970,1785811860842064447,640.244869
212,1000,1785811860301814017,1785811860842091482,540.275268
213,1000,1785811860401868707,1785811861056089210,654.218119
214,1000,1785811860501828190,1785811861056112343,554.281848
215,1000,1785811860601863119,1785811861268076713,666.211209
216,1000,1785811860701717972,1785811861268104190,566.383886
217,1000,1785811860801863453,1785811861494066557,692.200710
218,1000,1785811860901831189,1785811861494092921,592.259367
219,1000,1785811861001867567,1785811861682666354,680.796361
220,1000,1785811861101815637,1785811861682693473,580.875217
221,1000,1785811861201867872,1785811861883976946,682.106773
222,1000,1785811861301818148,1785811861883997687,582.177391
223,1000,1785811861401867654,1785811862070085005,668.214969
