1785742110.442960,1,32,08018c0001000000000100000127430024222b0001f80f000400000000000000
1785742110.462960,1,32,08018e0001000000000100000127430024222b4001f80f000400000000000000
1785742110.482959,1,32,0801900001000000000100000127430024222b4001f80f000400000000000000
1785742110.502960,1,32,0801920001000000000100000127430024222b4001f80f000400000000000000
1785742110.522960,1,32,0801940001000000000100000127430024222b0001f80f000400000000000000
1785742110.542959,1,32,0801960001000000000100000127430024222b0001f80f000400000000000000
1785742110.562959,1,32,0801980001000000000100000127430024222b0001f80f000400000000000000
1785742110.582960,1,32,08019a0001000000000100000127430024222b0001f80f000400000000000000
1785742110.602960,1,32,08019c0001000000000100000127430024222b0001f80f000400000000000000
1785742110.622960,1,32,08019e0001000000000100000127430024222b0001f80f000400000000000000
1785742110.642959,1,32,0801a00001000000000100000127430024222b0001f80f000400000000000000
1785742110.662959,1,32,0801a20001000000000100000127430024222b0001f80f000400000000000000
1785742110.682959,1,32,0801a40001000000000100000127430024222b0001f80f000400000000000000
1785742110.702959,1,32,0801a60001000000000100000127430024222b0001f80f000400000000000000
1785742110.714650,1,32,0801a70001000000000100000127430042e0044001f80f080100000000000000
1785742110.722959,2,84,0701a8000100000080000000c06743000682100001c0710000000000981068018408e011040000000f600d46a28812000000000008f1a800010000000001000001ad410024222b0001f80f000400000000000000
1785742110.730836,1,32,0701a90001000000000100000167430012e0024001f82f000200000000000000
1785742110.734649,1,32,0801a90001000000000100000167430042e0040001f80f880100000000000000
1785742110.742961,2,84,0701aa000100000080000000c08742000a02110001e0460000000000181168018408e011040000000f600d46020000000000000008f1aa00010000000001000001ad410024222bda01f80f000400000000000000
1785742110.762960,1,32,0801ac0001000000000100000187420024222bda01f80f000400000000000000
1785742110.782960,1,32,0801ae0001000000000100000187420024222b0001f80f000400000000000000
1785742110.802960,1,32,0801b00001000000000100000187420024222b4001f80f000400000000000000
1785742110.822960,1,32,0801b20001000000000100000187420024222b0001f80f000400000000000000
1785742110.842961,1,32,0801b40001000000000100000187420024222bfe01f80f000400000000000000
1785742110.862960,1,32,0801b60001000000000100000187420024222bfe01f80f000400000000000000
1785742110.882959,1,32,0801b80001000000000100000187420024222bfe01f80f000400000000000000
1785742110.902960,1,32,0801ba0001000000000100000187420024222b0001f80f000400000000000000
1785742110.922961,1,32,0801bc0001000000000100000187420024222b0001f80f000400000000000000
1785742110.942960,1,32,0801be0001000000000100000187420024222b0001f80f000400000000000000
1785742110.962960,1,32,0801c00001000000000100000187420024222b0001f80f000400000000000000
1785742110.982959,1,32,0801c20001000000000100000187420024222b0001f80f000400000000000000
1785742111.002960,1,32,0801c40001000000000100000187420024222b0001f80f000400000000000000
1785742111.022960,1,32,0801c60001000000000100000187420024222b0001f80f000400000000000000
1785742111.042959,1,32,0801c80001000000000100000187420024222b4001f80f000400000000000000
1785742111.062958,1,32,0801ca0001000000000100000187420024222b4001f80f000400000000000000
1785742111.082959,1,32,0801cc0001000000000100000187420024222b4001f80f000400000000000000
1785742111.102958,1,32,0801ce0001000000000100000187420024222b0001f80f000400000000000000
1785742111.122959,1,32,0801d00001000000000100000187420024222b0001f80f000400000000000000
1785742111.142958,1,32,0801d20001000000000100000187420024222b0001f80f000400000000000000
1785742111.162959,1,32,0801d40001000000000100000187420024222b0001f80f000400000000000000
1785742111.182958,1,32,0801d60001000000000100000187420024222b0001f80f000400000000000000
1785742111.202958,1,32,0801d80001000000000100000187420024222b0001f80f000400000000000000
1785742111.222958,1,32,0801da0001000000000100000187420024222b0001f80f000400000000000000
1785742111.242958,1,32,0801dc0001000000000100000187420024222b0001f80f000400000000000000
1785742111.262958,1,32,0801de0001000000000100000187420024222b0001f80f000400000000000000
1785742111.282958,1,32,0801e00001000000000100000187420024222b0001f80f000400000000000000
1785742111.302958,1,32,0801e20001000000000100000187420024222b4001f80f000400000000000000
1785742111.322958,1,32,0801e40001000000000100000187420024222b4001f80f000400000000000000
1785742111.342958,1,32,0801e60001000000000100000187420024222b4001f80f000400000000000000
1785742111.362958,1,32,0801e80001000000000100000187420024222b0001f80f000400000000000000
1785742111.382958,1,32,0801ea0001000000000100000187420024222b0001f80f000400000000000000
1785742111.402958,1,32,0801ec0001000000000100000187420024222b0001f80f000400000000000000
1785742111.422958,1,32,0801ee0001000000000100000187420024222b0001f80f000400000000000000
1785742111.442957,1,32,0801f00001000000000100000187420024222b0001f80f000400000000000000
1785742111.462957,1,32,0801f20001000000000100000187420024222b0001f80f000400000000000000
1785742111.482957,1,32,0801f40001000000000100000187420024222b0001f80f000400000000000000
1785742111.502957,1,32,0801f60001000000000100000187420024222b0001f80f000400000000000000
1785742111.522958,1,32,0801f80001000000000100000187420024222b0001f80f000400000000000000
1785742111.542957,1,32,0801fa0001000000000100000187420024222b0001f80f000400000000000000
1785742111.562958,1,32,0801fc0001000000000100000187420024222b4001f80f000400000000000000
1785742111.582957,1,32,0801fe0001000000000100000187420024222b4001f80f000400000000000000
1785742111.602957,1,32,0801000101000000000100000187420024222b4001f80f000400000000000000
1785742111.622957,1,32,0801020101000000000100000187420024222b0001f80f000400000000000000
